date,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword,match_type,apps,approved,funded,production,value,cc_appvd,deposit_appvd,personal_appvd,vehicle_appvd,heloc_appvd
2025-11-13,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap community credit union,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2025-11-24,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,2,1,1,26989.94,3778.5916,0,0,0,1,0
2025-11-25,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,4,2,1,1250.0,612.5,1,1,0,0,0
2025-11-26,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,7,4,2,10000.0,3000.0,0,4,0,0,0
2025-11-26,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union port orchard,PHRASE,1,1,0,0.0,0.0,0,1,0,0,0
2025-11-26,23278396982,KCU - Business - NB,189213901415,Digital Accounts,business online banking,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2025-11-27,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,2,1,1,525.0,1500.0,0,1,0,0,0
2025-11-28,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,3,2,2,15600.0,5919.0,1,0,1,0,0
2025-11-28,23228929821,KCU - Personal - Brand,185493406462,Banking Location,kitsap credit union port orchard,PHRASE,1,0,0,0.0,0.0,0,0,0,0,0
2025-11-29,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,4,0,0,0.0,0.0,0,0,0,0,0
2025-11-30,23228929821,KCU - Personal - Brand,185493406502,General Banking,kitsap credit union,PHRASE,4,1,1,15000.0,1500.0,0,1,0,0,0
