network,impressions,clicks,cost,conversions
CONTENT,153194,191,467.726246,0.0
GOOGLE_TV,246,0,0.6990069999999999,0.0
MIXED,60266,3138,4595.639459,261.973128
SEARCH,13437,3167,4066.579683,241.425586
YOUTUBE,81678,58,353.99177,1.0
