network,impressions,clicks,cost,conversions
CONTENT,978132,1474,4431.963766,3.0786160000000002
DISCOVER,18685,285,1251.529349,6.172468
GMAIL,25776,126,873.963883,4.0
GOOGLE_TV,1,0,0.001975,0.0
MIXED,5830,260,694.144639,30.452351
SEARCH,84248,17258,44502.266124,2163.387768
YOUTUBE,652756,992,3487.239188,7.0
