network,impressions,clicks,cost,conversions
CONTENT,815958,1493,3340.697025,12.0
DISCOVER,50432,967,2128.921902,20.0
GMAIL,589100,1702,8290.98023,125.446271
GOOGLE_TV,411,0,1.197334,0.0
MIXED,117631,13246,18835.903627,1228.843725
SEARCH,69430,16964,22905.73796,1790.9325410000001
YOUTUBE,342794,359,1656.454128,4.0
