campaign_id,campaign_name,ad_group_id,ad_group_name,keyword,match_type,impressions,clicks,cost,conversions
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,buy vehicle online,BROAD,22,5,19.53,1.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,call auto credit,BROAD,73,5,11.689533,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,best credit union online banking,BROAD,56,5,0.77,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,bank of america debit,BROAD,248,5,0.120153,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,deposit through atm,BROAD,163,4,0.05,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,schools first fcu credit card,BROAD,120,4,6.87,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,suv cars for sale near me,BROAD,67,4,2.33,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,chase bank current cd rates,BROAD,196,4,0.08,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,best online car buying sites,BROAD,83,4,8.43,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,cars for sale near my location,BROAD,159,3,8.601433,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,get a us bank account,BROAD,62,3,0.05,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,buy a car online and have it delivered,BROAD,177,3,9.443408,1.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,us bank online banking account,BROAD,61,3,12.541224000000001,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,car shopping websites,BROAD,26,3,3.65511,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,best local bank,BROAD,106,3,0.18961,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,us bank online banking sign in,BROAD,322,3,16.95,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,preowned cars for sale near me,BROAD,129,2,5.640000000000001,1.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,buy new car online,BROAD,36,2,12.46,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,buy and sell used cars near me,BROAD,32,2,3.331814,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,used car shopping sites,BROAD,29,2,4.933322,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,no chexsystems banks,BROAD,11,2,9.67217,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,apply for navy federal checking account,BROAD,67,2,2.8699999999999997,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,navy federal credit union checking,BROAD,145,2,6.666136,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,local cd rates credit unions,BROAD,39,2,1.8,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,auto expert online,BROAD,4,1,1.17,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,bank account us bank,BROAD,5,1,2.98,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,internet car sales,BROAD,24,1,1.2,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,car expert,BROAD,3,1,0.77,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,checking account near me,BROAD,89,1,0.05,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,checking near me,BROAD,122,1,0.03,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,online dealership,BROAD,54,1,0.84,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,a bank check,BROAD,14,1,0.003316,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,cash my check online,BROAD,14,1,0.01,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,us bank savings,BROAD,92,1,0.01,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,navy federal credit union online banking,BROAD,39,1,0.01,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,us bank online checking account,BROAD,147,1,1.925,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,nearest union bank,BROAD,30,1,0.01,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,the best credit unions,BROAD,33,1,0.01,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,online truck sales,BROAD,5,0,0.0,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,places to buy cars online,BROAD,2,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,bad credit credit,BROAD,11,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,business account,BROAD,2,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,best bank for bank account,BROAD,2,0,0.0,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,online car online,BROAD,7,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,account bank,BROAD,16,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,best checking accounts in california,BROAD,10,0,0.0,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,online auto,BROAD,6,0,0.0,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,new cars online,BROAD,1,0,0.0,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,used car shopping online,BROAD,15,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,personal bank check,BROAD,3,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,chase bank cd rates today,BROAD,65,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,chase bank 6 month cd rates,BROAD,1,0,0.0,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,car shopping online,BROAD,1,0,0.0,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,car sell near me,BROAD,9,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,chase bank cd rates now,BROAD,28,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,saving bank near me,BROAD,2,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,chase bank promotional cd rates,BROAD,1,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,credit union checking account near me,BROAD,26,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,discover bank account,BROAD,2,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,free banking,BROAD,6,0,0.0,0.0
20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,auto car experts,BROAD,12,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,navy federal branch near me,BROAD,81,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,top credit union banks,BROAD,22,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,shared branch credit union near me,BROAD,17,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,online accounts,BROAD,1,0,0.0,0.0
8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,a bank account,BROAD,1,0,0.0,0.0
