network,impressions,clicks,cost,conversions
SEARCH,10519,2167,908.688344,22.791678
SEARCH_PARTNERS,161,14,6.727869,0.0
CONTENT,717,7,26.412696999999998,0.0
MIXED,3334782,29935,15185.905483999999,12666.273412999997
YOUTUBE,608833,4194,1520.298551,2987.724482
