network,impressions,clicks,cost,conversions
CONTENT,5677,60,37.822643,2.0
MIXED,2941016,31827,13321.688927,10689.147185
SEARCH,1862,289,280.243876,6.243944
SEARCH_PARTNERS,34,8,5.3266610000000005,0.0
YOUTUBE,483942,3757,1520.263909,1986.465109
