network,impressions,clicks,cost,conversions
CONTENT,8391,102,61.286512,0.0
MIXED,650131,6021,2702.567041,263.979686
SEARCH,365,61,40.542938,1.0
SEARCH_PARTNERS,3,1,0.05,0.0
YOUTUBE,100937,129,260.367302,46.99902
