network,impressions,clicks,cost,conversions
CONTENT,292,12,27.064672,0.0
MIXED,2436243,21365,13452.992247,9095.617086
SEARCH,9790,1850,889.704282,25.475511
SEARCH_PARTNERS,168,22,10.767271,0.0
YOUTUBE,560009,1826,1520.243592,2554.887981
