campaign_id,campaign_name,impressions,clicks,cost,conversions
23228929821,KCU - Personal - Brand,7921,2726,349.264923,198.77775200000002
23229263037,KCU - YT - AWA,113295,149,526.1180449999999,1.0
23238626386,KCU - Personal - NB,2032,128,1199.213096,8.0
23238626389,KCU - Personal - NB Locations,1147,103,1006.457232,6.5
23278396982,KCU - Business - NB,540,21,546.85816,0.0
23282664394,KCU - Business - Brand,44,13,57.95,2.0
23371442105,KCU - Personal - NB Extended,1753,176,906.836272,26.147834
23434304363,KCU - pMax - 10 Mo Cert,9293,702,1490.588574,17.769579
23435834843,KCU - Business Checking - pMax,35079,222,402.774922,5.0
23438594629,KCU - YT - AWA Extended,121823,100,296.29897800000003,0.0
23519040207,KCU - pMax - Peak,4998,507,1117.4043510000001,127.953759
23529409807,KCU - pMax - 7 Month Cert,10896,1707,1584.8716120000001,111.24979
