campaign_id,campaign_name,impressions,clicks,cost,conversions
23228929821,KCU - Personal - Brand,35699,12004,6809.214069,1599.10677
23229263037,KCU - YT - AWA,1596170,2221,7500.144689,9.0
23238626386,KCU - Personal - NB,22065,1926,17017.371065,143.381464
23379709610,KCU - Personal - Brand Brand Geo Test,6402,1916,1278.360269,238.173354
23238626389,KCU - Personal - NB Locations,13906,1090,12851.750062,122.503956
23390869145,X KCU - DG - Kraken,62220,564,1502.943688,7.891282
23273148696,X KCU - 5 Mo - pMax,5830,260,694.144639,30.0
23278396982,KCU - Business - NB,5110,214,5269.369084,39.23069
23355881198,X KCU - DG - 10 Mo Cert,16960,92,1041.609784,3.0
23371442105,KCU - Personal - NB Extended,890,79,941.186899,5.0
23282664394,KCU - Business - Brand,155,29,335.014676,6.75
23278397513,X KCU - Business - Non-Brand Locations,21,0,0.0,0.0
