location,impressions,clicks,cost,conversions
geoTargetConstants/1013960,111,0,0.05481,0.0
geoTargetConstants/1013962,365800,189,298.955639,0.0
geoTargetConstants/1013972,226,0,0.18534299999999998,0.0
geoTargetConstants/1013973,2357,1,1.934534,0.0
geoTargetConstants/1013978,836,0,0.675735,0.0
geoTargetConstants/1013980,978,0,0.828116,0.0
geoTargetConstants/1013982,21,4,1.519799,0.0
geoTargetConstants/1013992,136,0,0.111894,0.0
geoTargetConstants/1013998,38,2,1.6778300000000002,0.0
geoTargetConstants/1014001,5959,286,302.207617,0.0
geoTargetConstants/1014003,124,1,2.9681429999999995,0.0
geoTargetConstants/1014013,37,2,0.921103,0.0
geoTargetConstants/1014017,1314,15,6.987388,0.0
geoTargetConstants/1014022,1557,0,1.154068,0.0
geoTargetConstants/1014025,920,5,2.466963,0.0
geoTargetConstants/1014027,135,0,0.078042,0.0
geoTargetConstants/1014029,1614,0,1.237659,0.0
geoTargetConstants/1014033,6909,43,96.34644,0.0
geoTargetConstants/1014045,8691,468,521.217491,0.0
geoTargetConstants/1014047,5267,216,56.771358,0.0
geoTargetConstants/1014049,1139,2,2.097345,0.0
geoTargetConstants/1014053,89,0,0.067718,0.0
geoTargetConstants/1014058,4638,42,60.719251,0.0
geoTargetConstants/1014063,1566,11,9.794237,0.0
geoTargetConstants/1014069,2463,17,8.521956000000001,0.0
geoTargetConstants/1014072,3106,1,2.465043,0.0
geoTargetConstants/1014076,1825,0,1.42939,0.0
geoTargetConstants/1014085,28862,325,168.272252,0.0
geoTargetConstants/1014089,12659,47,86.548278,0.0
geoTargetConstants/1014090,3928,28,56.127283,0.0
geoTargetConstants/1014105,593,14,18.346022,0.0
geoTargetConstants/1014106,6137,34,47.18941,0.0
geoTargetConstants/1014107,4099,21,11.278336,0.0
geoTargetConstants/1014108,1013,1,0.771916,0.0
geoTargetConstants/1014115,1274,1,1.052643,0.0
geoTargetConstants/1014116,64,0,0.157263,0.0
geoTargetConstants/1014118,6662,1,5.056419,0.0
geoTargetConstants/1014122,102,0,0.079065,0.0
geoTargetConstants/1014127,1694,42,39.695876,0.0
geoTargetConstants/1014131,1128,5,7.393503,0.0
geoTargetConstants/1014133,1931,0,1.53738,0.0
geoTargetConstants/1014137,295,6,0.899825,0.0
geoTargetConstants/1014143,2800,10,20.844905999999998,0.0
geoTargetConstants/1014155,6559,2,4.868054,0.0
geoTargetConstants/1014162,9131,157,49.04165,0.0
geoTargetConstants/1014167,6737,29,67.138631,0.0
geoTargetConstants/1014168,2519,7,8.973568,0.0
geoTargetConstants/1014169,20,0,0.01576,0.0
geoTargetConstants/1014170,1006,6,5.822204,0.0
geoTargetConstants/1014171,2102,9,15.860665,0.0
geoTargetConstants/1014176,4363,17,28.850263,0.0
geoTargetConstants/1014177,4454,2,3.546099,0.0
geoTargetConstants/1014185,4215,10,28.895210000000002,0.0
geoTargetConstants/1014197,17347,107,146.882599,0.0
geoTargetConstants/1014203,2017,2,1.401318,0.0
geoTargetConstants/1014207,2024,3,1.4710860000000001,0.0
geoTargetConstants/1014214,6041,22,29.540633,0.0
geoTargetConstants/1014217,2931,19,24.294072,0.0
geoTargetConstants/1014218,381623,5781,2403.57436,0.0
geoTargetConstants/1014219,2154,0,1.633355,0.0
geoTargetConstants/1014220,2162,1,1.718357,0.0
geoTargetConstants/1014222,1205,1,1.001946,0.0
geoTargetConstants/1014224,2128,43,53.528024,0.0
geoTargetConstants/1014228,6708,34,46.467862,0.0
geoTargetConstants/1014234,15296,271,95.464794,0.0
geoTargetConstants/1014235,1003,1,0.7797270000000001,0.0
geoTargetConstants/1014247,7720,56,81.67039100000001,0.0
geoTargetConstants/1014250,8143,4,6.159177,0.0
geoTargetConstants/1014252,1370,0,1.065345,0.0
geoTargetConstants/1014255,4618,1,3.705675,0.0
geoTargetConstants/1014259,8661,266,83.911315,0.0
geoTargetConstants/1014263,944,8,28.915965,0.0
geoTargetConstants/1014276,529,0,0.525986,0.0
geoTargetConstants/1014278,214,0,0.140399,0.0
geoTargetConstants/1014284,1976,28,19.05978,0.0
geoTargetConstants/1014291,970,0,0.723295,0.0
geoTargetConstants/1014292,2371,0,1.835668,0.0
geoTargetConstants/1014294,897,1,0.687668,0.0
geoTargetConstants/1014297,7094,216,76.026822,0.0
geoTargetConstants/1014302,976,2,4.608018,0.0
geoTargetConstants/1014303,1441,0,1.349466,0.0
geoTargetConstants/1014327,8832,545,496.847645,0.0
geoTargetConstants/1014328,1304,0,0.972019,0.0
geoTargetConstants/1014330,256,2,0.673423,0.0
geoTargetConstants/1014333,383,0,0.305964,0.0
geoTargetConstants/1014338,353,0,0.25828,0.0
geoTargetConstants/1014339,7382,4,5.705978,0.0
geoTargetConstants/1014340,3,0,0.0,0.0
geoTargetConstants/1014352,2910,19,33.759876,0.0
geoTargetConstants/1014354,1263,2,0.875941,0.0
geoTargetConstants/1014359,2833,15,14.383426,0.0
geoTargetConstants/1014364,3113,69,24.70851,0.0
geoTargetConstants/1014368,3111,2,2.45044,0.0
geoTargetConstants/1014370,5026,11,30.828487,0.0
geoTargetConstants/1014372,2292,3,3.809746,0.0
geoTargetConstants/1014374,12422,191,85.766891,0.0
geoTargetConstants/1014376,2327,0,1.776149,0.0
geoTargetConstants/1014378,198,2,0.198592,0.0
geoTargetConstants/1014388,2514,2,1.871514,0.0
geoTargetConstants/1014390,9637,13,7.882951,0.0
geoTargetConstants/1014392,4201,1,3.209674,0.0
geoTargetConstants/1014394,5216,9,12.948178,0.0
geoTargetConstants/1014399,4943,0,3.687751,0.0
geoTargetConstants/1014400,2756,77,41.820172,0.0
geoTargetConstants/1014407,2626,45,40.9304,0.0
geoTargetConstants/1014417,400,1,0.364616,0.0
geoTargetConstants/1014418,124,0,0.046479,0.0
geoTargetConstants/1014420,3763,13,12.807837,0.0
geoTargetConstants/1014425,21,0,0.019377,0.0
geoTargetConstants/1014426,1672,23,18.507664,0.0
geoTargetConstants/9051533,2,0,0.002806,0.0
geoTargetConstants/9051618,2543,28,24.60869,0.0
geoTargetConstants/9051684,1122,4,6.120709,0.0
geoTargetConstants/9051689,974,35,52.290246999999994,0.0
geoTargetConstants/9051759,5802,3,4.241718,0.0
geoTargetConstants/9051776,1799,8,27.307969,0.0
geoTargetConstants/9051873,2624,0,1.96096,0.0
geoTargetConstants/9051887,1814,13,16.64694,0.0
geoTargetConstants/9051954,344,1,0.294226,0.0
geoTargetConstants/9052127,931,14,2.00016,0.0
