location,impressions,clicks,cost,conversions
geoTargetConstants/1019672,231,34,24.786651,4.0
geoTargetConstants/9051530,61,3,0.35806899999999997,0.0
geoTargetConstants/9051606,113,13,9.057904,1.0
geoTargetConstants/9051631,18,3,3.8661619999999997,0.0
geoTargetConstants/9051659,1443,383,79.852924,24.046706
geoTargetConstants/9051936,590,135,48.827273,7.20741
geoTargetConstants/9051969,23,0,0.0,0.0
geoTargetConstants/9051996,217,19,21.165607,6.0
geoTargetConstants/9052073,7,2,2.1636849999999996,0.0
geoTargetConstants/9052074,785,228,141.663545,15.784137999999999
geoTargetConstants/9052075,127,26,22.927741,3.99747
geoTargetConstants/9052179,85,6,10.451888,1.0
geoTargetConstants/9052364,55,10,0.89,0.0
geoTargetConstants/9052438,47,4,9.854337,0.0
geoTargetConstants/9052585,13,0,0.0,0.0
geoTargetConstants/9052606,91,5,5.871865000000001,0.0
geoTargetConstants/9052620,53,2,2.87,0.0
geoTargetConstants/9052692,191,45,12.332691,0.0
geoTargetConstants/9052754,357,72,15.054643,1.0
geoTargetConstants/9052760,266,12,20.103705,1.0
geoTargetConstants/9052832,229,15,32.809258,1.0
geoTargetConstants/9052905,27,0,0.0,0.0
geoTargetConstants/9053044,300,81,29.642792999999998,5.0
geoTargetConstants/9053202,706,171,44.500685,7.018677
geoTargetConstants/9190397,24,4,5.62,0.0
geoTargetConstants/9191661,68,14,2.05,1.0
geoTargetConstants/9191840,34,0,0.031547000000000006,0.0
geoTargetConstants/9192066,87,8,3.745576,3.0
geoTargetConstants/9195254,112,23,7.899691,2.083286
geoTargetConstants/9195435,112,25,29.585913,4.0
geoTargetConstants/9196452,45,2,3.88,0.0
geoTargetConstants/9219228,113,9,10.623719,1.0
