date,campaign_id,campaign_name,ad_group_id,ad_group_name,keyword,match_type,apps,approved,funded,production,value,cc_appvd,deposit_appvd,personal_appvd,vehicle_appvd,heloc_appvd
2025-11-14,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,cd rates near me,BROAD,1,0,0,0.0,0.0,0,0,0,0,0
2025-11-26,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,banks to open online,BROAD,1,1,1,25.0,1500.0,0,1,0,0,0
