location,impressions,clicks,cost,conversions
geoTargetConstants/1014927,3,0,0.020139,0.0
geoTargetConstants/1015026,6,0,0.040128000000000004,0.0
geoTargetConstants/1015117,2,0,0.009641,0.0
geoTargetConstants/1015256,1,0,0.003517,0.0
geoTargetConstants/1018728,1,0,0.002923,0.0
geoTargetConstants/1022126,216,0,1.060402,0.0
geoTargetConstants/1022135,95,0,0.419289,0.0
geoTargetConstants/1022209,2172,0,10.386167,0.0
geoTargetConstants/1022262,117,0,0.567876,0.0
geoTargetConstants/1022266,1,0,0.004315,0.0
geoTargetConstants/1022429,851,0,4.240214,0.0
geoTargetConstants/1023522,2,0,0.0,0.0
geoTargetConstants/1023526,16,4,6.644632,0.0
geoTargetConstants/1023528,9,0,0.0,0.0
geoTargetConstants/1023539,11,8,13.012598,0.0
geoTargetConstants/1023540,1441,208,156.977954,25.999676
geoTargetConstants/1023545,24,7,19.426865,6.999736
geoTargetConstants/1023554,11,1,0.513929,0.0
geoTargetConstants/1023575,34,4,3.135174,2.0
geoTargetConstants/1023606,16,3,4.352688000000001,0.0
geoTargetConstants/1023608,6291,1180,867.355475,204.998361
geoTargetConstants/1023617,9,2,0.99,0.0
geoTargetConstants/1023626,4992,688,606.860817,143.629939
geoTargetConstants/1023633,1,0,0.0,0.0
geoTargetConstants/1023640,9777,1688,1835.716889,271.938358
geoTargetConstants/1023643,2,1,0.01,0.0
geoTargetConstants/1023653,1,0,0.0,0.0
geoTargetConstants/1023654,1,1,0.89,0.0
geoTargetConstants/1023660,4469,929,377.634306,103.0
geoTargetConstants/1023669,1,1,1.559955,1.0
geoTargetConstants/1023671,705,116,56.227502,11.023386
geoTargetConstants/1023678,2,2,2.333094,0.0
geoTargetConstants/1023691,65,11,6.174338,1.0
geoTargetConstants/1023706,321,82,19.65367,5.0
geoTargetConstants/1023726,65,10,3.321985,1.0
geoTargetConstants/1023730,122,26,27.078954,8.999654
geoTargetConstants/1023731,63,17,8.588386,2.0001189999999998
geoTargetConstants/1023732,100,25,14.954562000000001,4.999573
geoTargetConstants/1023738,43,12,1.31,0.0
geoTargetConstants/1023744,6,2,0.887256,0.0
geoTargetConstants/1023765,6,2,1.69,0.0
geoTargetConstants/1023787,247,45,30.091974,2.0
geoTargetConstants/1023800,1031,263,204.567654,47.0
geoTargetConstants/1023808,2,1,0.07,0.0
geoTargetConstants/1023818,11,4,1.098222,0.0
geoTargetConstants/1023819,3023,657,466.979112,97.000069
geoTargetConstants/1023847,7,2,0.02,0.0
geoTargetConstants/1023866,31,11,0.81,1.0
geoTargetConstants/1023877,3,1,0.17,0.0
geoTargetConstants/1023895,5,1,0.22,0.0
geoTargetConstants/1023918,107,20,11.065635,1.0
geoTargetConstants/1023923,13,4,1.7654390000000002,0.0
geoTargetConstants/1023933,46,13,4.7,0.0
geoTargetConstants/1023939,29,4,1.73,0.0
geoTargetConstants/1023946,783,107,32.402503,10.0
geoTargetConstants/1023956,547,72,57.009602,8.0
geoTargetConstants/1024022,598,168,54.541771,17.0
geoTargetConstants/1024027,24,6,1.2888510000000002,0.0
geoTargetConstants/1024043,42,9,0.22999999999999998,1.0
geoTargetConstants/1024086,1047,241,126.944884,25.99992
geoTargetConstants/1024610,10510,0,50.304224,0.0
geoTargetConstants/1024611,2,0,0.0,0.0
geoTargetConstants/1024616,1805,0,9.322993,0.0
geoTargetConstants/1024619,300,51,33.968388,6.0
geoTargetConstants/1024620,4,0,0.021577,0.0
geoTargetConstants/1024622,6554,1246,937.748474,172.879215
geoTargetConstants/1024624,17,5,4.940271,2.0
geoTargetConstants/1024626,7616,0,37.075794,0.0
geoTargetConstants/1024627,771,171,90.663713,19.0
geoTargetConstants/1024630,6319,0,30.675776,0.0
geoTargetConstants/1024639,123,27,12.427669999999999,3.0
geoTargetConstants/1024640,3844,1,17.986475,0.0
geoTargetConstants/1024646,156,25,41.294959,4.0
geoTargetConstants/1024647,117,36,26.39022,4.0
geoTargetConstants/1024650,906,188,173.71755,19.382018
geoTargetConstants/1024651,28,0,0.133182,0.0
geoTargetConstants/1024652,26,7,0.772364,0.0
geoTargetConstants/1024654,1,0,0.0,0.0
geoTargetConstants/1024655,271,52,53.900439,9.45951
geoTargetConstants/1024663,5652,1,27.974301,0.0
geoTargetConstants/1024664,89,7,3.2330389999999998,0.0
geoTargetConstants/1024666,711,156,86.0621,24.619518
geoTargetConstants/1024668,25,15,3.258303,3.0
geoTargetConstants/1024672,1694,250,213.856523,26.079457
geoTargetConstants/1024675,10,1,0.436788,0.0
geoTargetConstants/1024676,226,0,1.0467359999999999,0.0
geoTargetConstants/1024677,8982,2,43.63178,0.0
geoTargetConstants/1024678,27,6,4.05,0.0
geoTargetConstants/1024680,3772,0,18.281831,0.0
geoTargetConstants/1024681,404,113,78.785741,17.0
geoTargetConstants/1024683,6,0,0.038551,0.0
