location,impressions,clicks,cost,conversions
geoTargetConstants/1024711,53,0,0.217168,0.0
geoTargetConstants/1024712,1040,4,8.005903,0.0
geoTargetConstants/1024714,4,0,0.0,0.0
geoTargetConstants/1024716,1,0,0.005849,0.0
geoTargetConstants/1024717,13370,8,75.57487,2.0
geoTargetConstants/1024719,2887,74,83.709999,35.0
geoTargetConstants/1024720,495,20,23.880091,4.0
geoTargetConstants/1024726,43,0,0.229506,0.0
geoTargetConstants/1024727,960,0,5.193734,0.0
geoTargetConstants/1024728,2444,0,13.600534999999999,0.0
geoTargetConstants/1024731,1,0,0.003155,0.0
geoTargetConstants/1024732,211,0,1.045821,0.0
geoTargetConstants/1024733,369,0,2.111982,0.0
geoTargetConstants/1024734,2205,0,12.026728,0.0
geoTargetConstants/1024735,1090,44,19.777503,1.0
geoTargetConstants/1024736,14,0,0.063416,0.0
geoTargetConstants/1024737,58,0,0.315376,0.0
geoTargetConstants/1024738,7,0,0.0,0.0
geoTargetConstants/1024739,4,0,0.020470000000000002,0.0
geoTargetConstants/1024741,1186,103,50.933092,9.0
geoTargetConstants/1024743,2622,100,102.539705,38.13672
geoTargetConstants/1024745,74,6,3.8418589999999995,0.0
geoTargetConstants/1024746,11,2,7.390000000000001,0.0
geoTargetConstants/1024749,87,0,0.5280739999999999,0.0
geoTargetConstants/1024753,4615,1,25.096918,0.0
geoTargetConstants/1024755,14,6,2.993555,1.0
geoTargetConstants/1024756,6,0,0.037439,0.0
geoTargetConstants/1024757,905,1,4.901657,0.0
geoTargetConstants/1024760,40,3,0.351157,0.0
geoTargetConstants/1024761,2187,0,11.857245,0.0
geoTargetConstants/1024763,1,0,0.00477,0.0
geoTargetConstants/1024766,1,1,0.62,0.0
geoTargetConstants/1024771,3177,132,80.509277,7.754633
geoTargetConstants/1024776,27,0,0.142923,0.0
geoTargetConstants/1024780,31,10,2.54313,0.0
geoTargetConstants/1024787,2180,53,51.929833,4.0
geoTargetConstants/1024790,767,0,4.1561449999999995,0.0
geoTargetConstants/1024791,239,11,3.77201,2.0
geoTargetConstants/1024793,1822,0,10.054492999999999,0.0
geoTargetConstants/1024794,1573,72,54.284374,12.0
geoTargetConstants/1024795,693,0,3.849161,0.0
geoTargetConstants/1024796,740,0,4.0575969999999995,0.0
geoTargetConstants/1024798,3542,1,19.123730000000002,0.0
geoTargetConstants/1024800,22,0,0.057124,0.0
geoTargetConstants/1024803,1883,0,10.159051,0.0
geoTargetConstants/1024804,2020,0,11.130502,0.0
geoTargetConstants/1024806,560,0,3.109533,0.0
geoTargetConstants/1024808,4643,329,247.420571,15.0
geoTargetConstants/1024811,2583,0,14.293738,0.0
geoTargetConstants/1024812,2541,194,154.775285,6.0
geoTargetConstants/1024813,41,0,0.196516,0.0
geoTargetConstants/1024817,481,16,12.852557000000001,1.0
geoTargetConstants/1024819,1753,2,12.482448,0.0
geoTargetConstants/1024822,1,0,0.005206,0.0
geoTargetConstants/1024823,1506,141,128.032569,11.694142
geoTargetConstants/1024825,16,2,0.4,0.0
geoTargetConstants/1024827,1540,61,34.02136,3.0
geoTargetConstants/1024828,6090,9,35.942653,1.0
geoTargetConstants/1024829,112,0,0.6159830000000001,0.0
geoTargetConstants/1024833,2,0,0.0,0.0
geoTargetConstants/1024834,13,0,0.070673,0.0
geoTargetConstants/1024836,1,0,0.005675,0.0
geoTargetConstants/1024839,3528,13,28.804264,10.0
geoTargetConstants/1024840,11700,1,65.915527,0.0
geoTargetConstants/1024842,39,0,0.213145,0.0
geoTargetConstants/1024845,282,7,3.169363,1.0
geoTargetConstants/1024847,2850,0,15.653034,0.0
geoTargetConstants/1024850,355,0,1.965862,0.0
geoTargetConstants/1024856,1353,0,7.353266,0.0
geoTargetConstants/1024858,417,36,38.219791,2.0
geoTargetConstants/1024860,314,0,1.735913,0.0
geoTargetConstants/1024862,2175,0,11.446754,0.0
geoTargetConstants/1024863,2968,0,16.313974,0.0
geoTargetConstants/1024867,164,0,0.885441,0.0
geoTargetConstants/1024870,132,0,0.732827,0.0
geoTargetConstants/1024873,27,0,0.13431099999999999,0.0
geoTargetConstants/1024875,804,4,3.892783,0.0
geoTargetConstants/1024877,338,39,18.730183,4.0
geoTargetConstants/1024878,265,22,24.560451,1.0
geoTargetConstants/1024880,855,0,4.643121,0.0
geoTargetConstants/1024883,77,0,0.386703,0.0
geoTargetConstants/1024884,96,0,0.503636,0.0
geoTargetConstants/1024885,280,14,6.859025,2.0
geoTargetConstants/1024888,5006,214,134.84694100000002,14.388284
geoTargetConstants/1024889,5,0,0.034759,0.0
geoTargetConstants/1024892,628,0,3.349377,0.0
geoTargetConstants/1024893,778,18,11.711995,0.0
geoTargetConstants/1024894,1668,0,9.191234,0.0
geoTargetConstants/1024897,55,0,0.299735,0.0
geoTargetConstants/1024898,2350,0,12.345151,0.0
geoTargetConstants/1024899,732,36,25.023858,1.0
geoTargetConstants/1024903,3,0,0.016825,0.0
geoTargetConstants/1024906,1052,0,5.629786,0.0
geoTargetConstants/1024910,9913,622,393.406764,36.0
geoTargetConstants/1024915,3,0,0.00595,0.0
geoTargetConstants/1024917,1642,0,8.903493,0.0
geoTargetConstants/1024920,429,0,2.353724,0.0
geoTargetConstants/1024922,70906,177,529.967587,20.835541
geoTargetConstants/1024925,376,18,14.814732,4.0
geoTargetConstants/1024926,3251,0,17.99677,0.0
geoTargetConstants/1024927,3482,2,18.93212,0.0
geoTargetConstants/1024929,6001,1,33.064474,0.0
geoTargetConstants/1024934,12,0,0.033001,0.0
geoTargetConstants/1024937,7202,29,46.264489,5.0
geoTargetConstants/1024938,49,10,3.3000000000000003,0.0
geoTargetConstants/1024939,1459,1,8.135216999999999,0.0
geoTargetConstants/1024940,2495,184,119.835711,9.0
geoTargetConstants/1024941,199,23,19.300079,0.0
geoTargetConstants/1024943,901,44,41.731846000000004,2.0
geoTargetConstants/1024948,4240,0,22.840203,0.0
geoTargetConstants/1024950,726,32,22.827136,0.0
geoTargetConstants/1024951,189,14,6.3902730000000005,2.0
geoTargetConstants/1024952,5630,13,62.391568,1.0
geoTargetConstants/1024953,334,22,27.104379,4.0
geoTargetConstants/1024958,1213,82,50.23632,2.0
geoTargetConstants/1024959,6290,446,374.196369,44.179585
geoTargetConstants/1024961,242,7,2.329922,0.0
geoTargetConstants/1024962,194,0,1.048745,0.0
geoTargetConstants/1024964,2146,16,23.439039,3.543631
geoTargetConstants/1024967,3625,1,20.129289,0.0
geoTargetConstants/1024968,2745,119,97.733657,8.0
geoTargetConstants/1024970,2420,0,12.782035,0.0
geoTargetConstants/1024973,2164,59,57.398573999999996,2.0
geoTargetConstants/1024976,14992,668,562.08582,49.153166999999996
geoTargetConstants/1024978,1606,0,8.659387,0.0
geoTargetConstants/1024983,20,0,0.119681,0.0
geoTargetConstants/1024985,4,0,0.028104,0.0
geoTargetConstants/1024987,9,0,0.037158,0.0
geoTargetConstants/1024988,215,0,1.12616,0.0
geoTargetConstants/1024993,5,0,0.033989,0.0
geoTargetConstants/1024996,1016,0,5.615265,0.0
geoTargetConstants/1025001,72000,84,487.00756,13.999907
geoTargetConstants/1025004,4689,0,25.470366000000002,0.0
geoTargetConstants/1025005,10210,0,56.490843,0.0
geoTargetConstants/1025009,3971,196,166.123642,8.0
geoTargetConstants/1025011,15639,5,83.568346,0.0
geoTargetConstants/1025012,1703,98,93.296762,6.0
geoTargetConstants/1025018,6,1,0.06,0.0
geoTargetConstants/1025023,2428,0,12.936549,0.0
geoTargetConstants/1025025,1005,2,5.505877,0.0
geoTargetConstants/1025026,1604,57,24.991213,3.0
geoTargetConstants/1025028,1072,57,31.335250000000002,5.0
geoTargetConstants/1025030,238,0,1.21128,0.0
geoTargetConstants/1025032,7475,6,43.162553,0.0
