campaign_id,campaign_name,impressions,clicks,cost,conversions
20266474689,SEARCH | Auto Expert,5954,120,115.388677,6.0
21641193985,Demand Gen - Overall Brand - All Products,483942,3757,1520.263909,1986.465109
23093430697,Evergreen PMax - Auto,101510,5452,751.578854,874.263209
23346863439,Goodbuy Community Marketplace - PMax,432963,2421,2254.139894,1601.370133
23456979108,PMax - uphora Balance Transfer Q1 2026,1698269,3957,5773.027216,4647.99019
23473699144,Competitor 2026,133227,8468,1518.32949,1161.7665670000001
23504365164,PMax - Ascend Checking,575047,11529,3024.613473,2403.757086
8701600450,SEARCH | Ascend Checking,1619,237,208.004503,2.243944
