application_id,click_id,click_id_type,click_id_source,bucket,bucket_detail,category,subcategory,attribution,approved,funded,production_value,lifetime_value,product_family,report_completion_timestamp
133954,0AAAAADJeyxWoHnVm4eTFeE98Vkk3smLpS,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-02 14:50:35.000
133976,0AAAAADJeyxVU1gebN9ZSEH6-X98FCYmdk,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-02 19:03:33.000
33187,0AAAAADJeyxVOBuSqnX48rCl2bHiZATFfj,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,1,0,0.0,0.0,Xpress App,2026-02-02 19:12:00.000
133996,Cj0KCQiAkPzLBhD4ARIsAGfah8iGqwXi-hFbdWspHAOekD8v_eXORIoNVj1cPkwJtlXXmTCZ7CMFQewaAk2gEALw_wcB,gclid,gclid,B_gclid_unmatched,standard GCLID not in click_view data,Paid,Google Ads,utm: campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-02 22:09:29.000
134000,0AAAAADJeyxVU1gebN9ZSEH6-X98FCYmdk,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-02 22:47:17.000
33196,CjwKCAiAs4HMBhBJEiwACrfNZZezy-H5vCdKy4dr6CkKxLI2-Ek9212fSCv-p_rtPBT-FPhksJQI2hoCBEcQAvD_BwE,gclid,gclid,B_gclid_unmatched,standard GCLID not in click_view data,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,1,0,0.0,0.0,Xpress App,2026-02-03 01:43:00.000
33206,Cj0KCQiAkPzLBhD4ARIsAGfah8jSTS8giG7YcjXaACERGTQ9753VlUaiAmOBP7xL8of0qlwnUdANEMoaAnjsEALw_wcB,gclid,gclid,B_gclid_unmatched,standard GCLID not in click_view data,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,1,1,50.0,1500.0,Xpress App,2026-02-03 15:26:00.000
134031,0AAAAADJeyxU5NRglW6xFZxehtUoBZQrQ7,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-03 16:52:49.000
33227,c9f7d6b0923b12744efabf33ec174663,msclkid,msclkid,A_wrong_click_id_type,msclkid,Paid,Bing,utm: bing/cpc/checkingaccounts/a business checking account/2020,1,1,10.0,1500.0,Xpress App,2026-02-04 17:34:00.000
33234,0AAAAADJeyxWinCZvQmfKFq6WMU_Mtiy4T,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-04 19:14:00.000
134096,0AAAAADJeyxWinCZvQmfKFq6WMU_Mtiy4T,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-04 20:45:28.000
134114,0AAAAADJeyxU5NRglW6xFZxehtUoBZQrQ7,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: campaign id: 23091630396,0,0,0.0,0.0,Vehicle Loan,2026-02-04 23:15:10.000
33253,0AAAAADJeyxVyHgeyKAtnkx0Bnt_1Pmw0-,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-05 13:02:00.000
134150,0AAAAADJeyxUlji4PU1D1QHPAhFp7togwk,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/sayyes/branded terms/campaign id: 23091630396,0,0,0.0,0.0,Credit Card,2026-02-05 17:25:12.000
33268,0AAAAADJeyxUlji4PU1D1QHPAhFp7togwk,gbraid,gbraid,A_wrong_click_id_type,gbraid,Paid,Google Ads,utm: google/cpc/checkingaccounts/2020/campaign id: 23091630396,0,0,0.0,0.0,Xpress App,2026-02-05 19:17:00.000
