search_term,keyword,match_type,campaign_id,campaign_name,ad_group_id,ad_group_name,impressions,clicks,cost,conversions
altra credit union near me,banks to open online,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,2.14,0.0
altra credit union near me,local credit union banks near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
altru bank,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
altrua bank,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,3,1,0.07,0.0
altura ascend checking,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
altura auto expert,auto expert,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,6,0,0.0,0.0
altura auto expert,online car sales,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,5,2,1.5727950000000002,0.0
altura auto expert,sell car online,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,3,0,0.0,0.0
altura auto loan,bank rate,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,5,2,0.030000000000000002,0.0
altura auto loan,best interest rates,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,5,3,0.064501,0.0
altura auto loan,credit credit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura auto loans,credit credit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.01,0.0
altura bank,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,81,27,5.021184,0.0
altura bank,bank account for kids,BROAD,23382769817,MyMoney 50/50 Campaign,189727630799,MyMoney Youth Account,5,1,0.85,0.0
altura bank,banks with early direct deposit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.132734,0.0
altura bank,best banks for checking,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.01,0.0
altura bank,cash back debit card,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,3,2,0.208945,0.0
altura bank,credit credit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura bank,debit account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
altura bank,free checking account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
altura bank,get a bank account online,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura bank,local credit union banks near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura bank,student banking,BROAD,23382769817,MyMoney 50/50 Campaign,189727630799,MyMoney Youth Account,1,0,0.0,0.0
altura bank,youth bank account,BROAD,23382769817,MyMoney 50/50 Campaign,189727630799,MyMoney Youth Account,4,2,2.94,0.0
altura bank account,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,4,0,0.0,0.0
altura bank coachella,student banking,BROAD,23382769817,MyMoney 50/50 Campaign,189727630799,MyMoney Youth Account,1,0,0.0,0.0
altura bank hemet,banks to open online,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
altura bank hemet,student banking,BROAD,23382769817,MyMoney 50/50 Campaign,189727630799,MyMoney Youth Account,2,0,0.0,0.0
altura bank indio,student banking,BROAD,23382769817,MyMoney 50/50 Campaign,189727630799,MyMoney Youth Account,4,0,0.0,0.0
altura bank login,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,6,2,0.02,0.0
altura bank moreno valley,student banking,BROAD,23382769817,MyMoney 50/50 Campaign,189727630799,MyMoney Youth Account,4,0,0.0,0.0
altura bank near me,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.01,0.0
altura bank near me,student banking,BROAD,23382769817,MyMoney 50/50 Campaign,189727630799,MyMoney Youth Account,3,0,0.0,0.0
altura bank riverside,student banking,BROAD,23382769817,MyMoney 50/50 Campaign,189727630799,MyMoney Youth Account,3,1,0.53,0.0
altura banking,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,6,2,0.18,0.0
altura beaumont,cash check online instantly without bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
altura beaumont,student banking,BROAD,23382769817,MyMoney 50/50 Campaign,189727630799,MyMoney Youth Account,2,0,0.0,0.0
altura c,check deposit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.01,0.0
altura c,refinance companies,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura car loan,bank rate,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.01,0.0
altura car loan,best interest rates,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura car loan,credit credit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,3,1,0.01,0.0
altura cc,credit credit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura chat,local credit union banks near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura checking account,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,6,6,11.569845,0.0
altura coachella,nearest union bank,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura com,bank rate,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
altura com,best interest rates,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.01,0.0
altura corona,refinance companies,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.01,0.0
altura credit,banks with early direct deposit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,3,1,0.05,0.0
altura credit,best cd rates near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit,best interest rates,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,3,0,0.0,0.0
altura credit,cash back debit card,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,4,3,0.206428,0.0
altura credit,check deposit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit,current account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,5,4,0.21000000000000002,0.0
altura credit,debit account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.01,0.0
altura credit,free checking account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,7,2,0.027618999999999998,0.0
altura credit,get a bank account online,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.08,0.0
altura credit card,credit credit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.01,0.0
altura credit union,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.01,0.0
altura credit union,banks with early direct deposit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.01,0.0
altura credit union,best interest rates,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.221538,0.0
altura credit union,check deposit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
altura credit union,local credit union banks near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.01,0.0
altura credit union,nearest union bank,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,651,268,10.057877,0.0
altura credit union 14th street,best checking account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union 24 hour number,local banks and credit unions,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.1,0.0
altura credit union app,best banks for checking,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union auto expert,auto expert,BROAD,20266474689,SEARCH | Auto Expert,150216545997,Auto Expert - Ad Group,1,0,0.0,0.0
altura credit union auto loan,best interest rates,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union auto loan,credit credit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.04,0.0
altura credit union bank,cash back debit card,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,2,0.127998,0.0
altura credit union bank,free checking account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union bank,student banking,BROAD,23382769817,MyMoney 50/50 Campaign,189727630799,MyMoney Youth Account,1,0,0.0,0.0
altura credit union bank near me,cash back debit card,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.729999,0.0
altura credit union california,best cd rates near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.01,0.0
altura credit union car loan,best interest rates,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,3,2,0.03,0.0
altura credit union car loan rates,best interest rates,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union checking account,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,7,1,1.94,0.0
altura credit union coachella,banks with early direct deposit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union contact number,credit credit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.005,0.0
altura credit union corona,banks with early direct deposit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
altura credit union corona,cash back debit card,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union credit card,best interest rates,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union credit card,cash back debit card,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union customer service,credit credit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,4,4,0.074605,0.0
altura credit union customer service,local banks and credit unions,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.01,0.0
altura credit union customer service chat,credit credit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.552378,0.0
altura credit union debit card,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union fees,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,0,0.0,0.0
altura credit union hemet,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,5,1,1.06,0.0
altura credit union hemet,banks with early direct deposit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union hemet,best cd rates near me,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.02,0.0
altura credit union hemet,best checking account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union hemet,best interest rates,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union hemet,cash check online instantly without bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union hemet,credit credit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,0.01,0.0
altura credit union hemet,nearest union bank,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,5,1,0.01974,0.0
altura credit union indio,bank account,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,1,0.01,0.0
altura credit union indio,best interest rates,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,2,1,1.45,0.0
altura credit union indio,credit credit,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union indio,get a bank account online,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,1,0,0.0,0.0
altura credit union indio,nearest union bank,BROAD,8701600450,SEARCH | Ascend Checking,126094451913,2021 Q3 Digital Services Ascend,5,1,0.01,0.0
