location,impressions,clicks,cost,conversions
geoTargetConstants/1027533,4,1,0.061451000000000006,0.0
geoTargetConstants/1027536,163,21,12.976814,5.0
geoTargetConstants/1027537,5,1,5.475933,0.0
geoTargetConstants/1027538,17,4,1.283467,0.0
geoTargetConstants/1027539,4,2,0.033656,0.0
geoTargetConstants/1027541,1379,64,30.479335,2.228955
geoTargetConstants/1027542,2,2,0.78,1.0
geoTargetConstants/1027543,10,1,0.015274,0.0
geoTargetConstants/1027545,2043,171,450.434072,14.514786
geoTargetConstants/1027549,2,0,0.003837,0.0
geoTargetConstants/1027550,12,2,0.02,0.0
geoTargetConstants/1027551,5,2,0.02,0.0
geoTargetConstants/1027553,5,2,1.9541199999999999,0.0
geoTargetConstants/1027556,1225,6,6.44857,0.0
geoTargetConstants/1027561,9,0,0.001814,0.0
geoTargetConstants/1027564,371,2,1.551347,0.0
geoTargetConstants/1027567,1,0,0.002683,0.0
geoTargetConstants/1027568,17,6,2.2600000000000002,0.0
geoTargetConstants/1027570,1766,16,12.139453,3.0
geoTargetConstants/1027571,2735,7,9.978385999999999,0.0
geoTargetConstants/1027575,2044,10,19.54119,2.0
geoTargetConstants/1027576,13933,59,112.244711,4.5
geoTargetConstants/1027577,15,3,1.11746,0.0
geoTargetConstants/1027578,44,9,2.0385020000000003,1.0
geoTargetConstants/1027580,5,1,6.58,0.0
geoTargetConstants/1027581,3760,34,145.146932,3.0
geoTargetConstants/1027582,1,0,0.0,0.0
geoTargetConstants/1027583,31394,136,358.897165,24.0
geoTargetConstants/1027584,19,7,0.560244,1.0
geoTargetConstants/1027587,611,1,10.947699,0.0
geoTargetConstants/1027588,49846,190,636.53588,20.0
geoTargetConstants/1027589,55,5,6.825754,1.0
geoTargetConstants/1027590,1614,13,58.387407,1.0
geoTargetConstants/1027591,1324,56,123.006318,0.0
geoTargetConstants/1027592,21,3,0.046313,0.0
geoTargetConstants/1027595,189362,918,1839.379656,48.698469
geoTargetConstants/1027596,965,7,11.886722,1.0
geoTargetConstants/1027597,1,0,0.003025,0.0
geoTargetConstants/1027598,17193,141,382.28355500000004,15.0
geoTargetConstants/1027600,54,18,1.337642,0.0
geoTargetConstants/1027601,2,1,0.06,1.0
geoTargetConstants/1027602,1611,9,13.900984,0.0
geoTargetConstants/1027604,563,0,1.4184459999999999,0.0
geoTargetConstants/1027609,1299,12,12.989402,1.0
geoTargetConstants/1027610,89,14,19.967316999999998,3.0
geoTargetConstants/1027612,1,0,0.0,0.0
geoTargetConstants/1027615,8376,25,77.872574,7.0
geoTargetConstants/1027616,1,0,0.001681,0.0
geoTargetConstants/1027620,4,2,0.23,0.0
geoTargetConstants/1027621,3673,18,41.467697,1.0
geoTargetConstants/1027622,25,7,0.7950630000000001,0.0
geoTargetConstants/1027623,46661,168,465.50111400000003,17.618477
geoTargetConstants/1027625,42,4,25.74,0.0
geoTargetConstants/1027626,60445,694,1162.573948,60.300936
geoTargetConstants/1027627,15709,56,168.325435,4.0
geoTargetConstants/1027629,2,0,0.002608,0.0
geoTargetConstants/1027630,15,2,2.281186,0.0
geoTargetConstants/1027631,5,0,0.019946,0.0
geoTargetConstants/1027632,233,42,21.503458,5.0
geoTargetConstants/1027634,9614,39,63.063002,3.0
geoTargetConstants/1027635,711,17,14.108967,2.0
geoTargetConstants/1027637,996,2,41.482290000000006,0.0
geoTargetConstants/1027638,40,11,2.739218,0.0
geoTargetConstants/1027639,1,0,0.002341,0.0
geoTargetConstants/1027641,15,3,3.3116589999999997,1.0
geoTargetConstants/1027642,19,7,1.079039,2.0
geoTargetConstants/1027643,18,6,1.52,0.0
geoTargetConstants/1027644,7,0,1.106221,0.0
geoTargetConstants/1027646,38,2,1.323973,0.0
geoTargetConstants/1027647,12485,50,67.718538,4.0
geoTargetConstants/1027648,1,0,0.0,0.0
geoTargetConstants/1027649,4143,92,196.089446,8.0
geoTargetConstants/1027651,18,3,2.1437060000000003,0.0
geoTargetConstants/1027653,7306,30,40.854933,1.0
geoTargetConstants/1027654,12638,55,177.739384,0.0
geoTargetConstants/1027655,4,1,0.016076,0.0
geoTargetConstants/1027656,21,3,0.412389,0.0
geoTargetConstants/1027658,1,0,0.002886,0.0
geoTargetConstants/1027660,815,3,6.747466999999999,0.0
geoTargetConstants/1027662,4482,7,25.973304,1.0
geoTargetConstants/1027663,2395,16,47.637151,4.0
geoTargetConstants/1027664,5335,20,25.402717,3.0
geoTargetConstants/1027665,29,4,2.152253,1.0
geoTargetConstants/1027666,14,2,2.638811,0.0
geoTargetConstants/1027667,7,3,1.794921,0.0
geoTargetConstants/1027668,18,3,0.691734,1.0
geoTargetConstants/1027669,133,20,8.837443,1.0
geoTargetConstants/1027670,4116,19,55.626011,2.0
geoTargetConstants/1027671,9,2,0.33,0.0
geoTargetConstants/1027672,3869,5,15.501021,2.0
geoTargetConstants/1027674,105,15,3.4717510000000003,2.0
geoTargetConstants/1027675,3,0,0.081427,0.0
geoTargetConstants/1027681,2499,8,18.220804,0.0
geoTargetConstants/1027683,8218,30,30.570676,4.0
geoTargetConstants/1027685,4,1,0.012303,1.0
geoTargetConstants/1027686,13,0,0.015233,0.0
geoTargetConstants/1027687,76,20,2.924119,2.0
geoTargetConstants/1027690,20734,191,369.739341,12.0
geoTargetConstants/1027691,1686,93,55.493534,16.0
geoTargetConstants/1027692,2,0,0.009892999999999999,0.0
geoTargetConstants/1027693,55,5,5.9120669999999995,0.0
geoTargetConstants/1027695,8,1,0.014347,0.0
geoTargetConstants/1027697,6190,31,48.726295,2.0
geoTargetConstants/1027698,6,0,0.004244,0.0
geoTargetConstants/1027700,1927,11,17.063119,4.0
geoTargetConstants/1027702,2,1,0.01,0.0
geoTargetConstants/1027704,22,4,0.077826,0.0
geoTargetConstants/1027707,2,0,0.0,0.0
geoTargetConstants/1027709,18018,126,527.476079,20.580652999999998
geoTargetConstants/1027710,6401,147,180.47884299999998,19.981869
geoTargetConstants/1027711,2017,131,115.49717600000001,11.0
geoTargetConstants/1027712,265111,2136,3040.820121,140.178884
geoTargetConstants/1027713,72646,687,1222.015824,50.443666
geoTargetConstants/1027714,128520,1385,2542.453455,118.095653
geoTargetConstants/1027715,1,0,0.005703,0.0
geoTargetConstants/1027717,6,4,2.632062,0.0
geoTargetConstants/1027718,12,1,0.20079100000000003,1.0
geoTargetConstants/1027719,7578,99,345.051022,12.0
geoTargetConstants/1027720,791,16,9.397089000000001,1.0
geoTargetConstants/1027721,4,1,0.017062,1.0
geoTargetConstants/1027722,28,5,1.1086529999999999,1.0
geoTargetConstants/1027723,12,1,0.24149299999999999,0.0
geoTargetConstants/1027724,29,8,4.227076,0.0
geoTargetConstants/1027725,19387,52,231.65524200000002,6.0
geoTargetConstants/1027726,17189,71,156.650707,9.0
geoTargetConstants/1027729,19,7,0.69964,1.0
geoTargetConstants/1027730,2,0,0.008028,0.0
geoTargetConstants/1027733,28,6,1.283828,0.0
geoTargetConstants/1027734,1,0,0.001944,0.0
geoTargetConstants/1027737,3,2,0.02,0.0
geoTargetConstants/1027738,2633,16,23.721524000000002,0.0
geoTargetConstants/1027741,12060,31,71.556369,1.0
geoTargetConstants/1027742,3,1,0.01,0.0
geoTargetConstants/1027744,416936,1595,3289.328079,137.17257
geoTargetConstants/1027745,50,5,1.8818100000000002,0.0
geoTargetConstants/1027746,74,3,3.8765959999999997,0.0
geoTargetConstants/1027747,7,1,0.032355,1.0
geoTargetConstants/1027748,17568,198,625.318808,17.005037
geoTargetConstants/1027750,23,0,0.069494,0.0
geoTargetConstants/1027751,78001,1072,1450.866424,96.106702
geoTargetConstants/1027753,10250,42,153.06328,2.0
geoTargetConstants/1027754,2835,9,11.149074,0.0
geoTargetConstants/1027755,1,0,0.002264,0.0
geoTargetConstants/1027756,1,0,0.002477,0.0
geoTargetConstants/1027757,4,1,0.24,0.0
geoTargetConstants/1027758,13341,67,140.656202,11.0
geoTargetConstants/1027760,26,6,0.151005,0.0
geoTargetConstants/1027761,2,1,0.45,0.0
geoTargetConstants/1027762,1,1,0.01,0.0
geoTargetConstants/1027764,1441,11,8.66307,0.0
geoTargetConstants/1027766,1646,30,41.609978,2.0
geoTargetConstants/1027769,1378,8,10.449112,2.0
geoTargetConstants/1027770,3,1,7.45,1.0
geoTargetConstants/1027771,5647,42,53.082133,5.0
geoTargetConstants/1027772,6,1,0.580432,0.0
geoTargetConstants/1027773,201960,1021,2239.075836,74.614414
geoTargetConstants/1027774,8,1,0.01,0.0
geoTargetConstants/1027776,31,4,0.654442,1.0
geoTargetConstants/1027777,31,4,2.6075399999999997,0.0
geoTargetConstants/1027778,4,0,0.0040750000000000005,0.0
geoTargetConstants/1027779,6,4,0.26,1.0
geoTargetConstants/1027782,6283,122,195.513779,17.0
geoTargetConstants/1027784,322,71,22.004302,11.0
geoTargetConstants/1027786,1098,20,9.382051,5.0
geoTargetConstants/1027787,7010,46,65.853424,5.0
geoTargetConstants/1027788,1,0,0.0,0.0
geoTargetConstants/1027790,61,24,3.92721,3.0
geoTargetConstants/1027791,1977,39,64.43367,5.0
geoTargetConstants/1027795,1,1,1.2,0.0
