campaign_id,campaign_name,impressions,clicks,cost,conversions
11946764304,FCB_Search_Brand_BrandedTerms_AllRegions,51527,19051,8141.4997299999995,6855.627176
17825136682,FCB_PMAX_Checking_Consumer_AllRegions,72279,8832,8334.01887,1237.9120149999999
22801009902,WFX - Rate Deposit - PMAX,1157382,3716,3051.586463,5423.387456
22027070076,WFX - CD and Money Market Promo,3321,882,1806.79604,181.652629
22597252504,WFX - Personal Checking -  Altoona,2574,478,699.651644,219.805966
22876064318,FCB_Search_Checking_AllConsumerProductsNonBrand_AllRegions,1902,393,478.256366,235.0
22919175247,WFX - Personal Checking -  North Plaza,2185,196,455.961095,67.0
22919175244,WFX - Personal Checking -  West Mifflin,1565,184,247.459622,71.0
22919175250,WFX - Personal Checking -  Massillon,1586,154,466.162749,34.0
20328798237,FCB_Search_Checking_AllBusinessProductsBrand_AllRegions,1611,119,1621.491133,32.30959
22876064828,WFX - Personal Checking - Punxy Plaza,800,108,480.990925,52.0
22876061951,WFX - Personal Checking - Natrona Heights,1030,102,466.200668,28.002176
22919175118,WFX - Personal Checking -  Union Square,1242,100,449.035677,17.0
20328798225,WFX- Business Checking- Central Ohio,1554,69,1675.161419,10.0
22876064855,WFX - Personal Checking - Allegheny Township,744,58,239.549477,21.0
23225373341,1320_FCB_Brand_Brand_AllMarkets_Awareness_Video_YouTube_Video_11.3.25,711271,57,3694.604569,0.0
23409554117,FCB_YouTube_Brand_ConsumerBusiness_AllRegions,156735,22,899.901745,0.0
