campaign_id,campaign_name,impressions,clicks,cost,conversions
11946764304,FCB_Search_Brand_BrandedTerms_AllRegions,52679,18729,7955.382405,6562.863549
17825136682,FCB_PMAX_Checking_Consumer_AllRegions,65448,7395,8332.120022,1341.935556
22801009902,WFX - Rate Deposit - PMAX,1591448,4759,4439.16567,7532.1706
22027070076,WFX - CD and Money Market Promo,8016,1266,2999.43785,312.723592
22597252504,WFX - Personal Checking -  Altoona,2849,486,718.840692,267.387418
22876064318,FCB_Search_Checking_AllConsumerProductsNonBrand_AllRegions,2105,405,485.038702,204.0
22841889806,WFX - Branded - State College,821,222,197.637993,72.074288
22919175247,WFX - Personal Checking -  North Plaza,2761,217,491.907724,67.0
22919175244,WFX - Personal Checking -  West Mifflin,1550,171,246.601753,49.0
22919175250,WFX - Personal Checking -  Massillon,2026,160,484.788604,33.0
20328798237,FCB_Search_Checking_AllBusinessProductsBrand_AllRegions,2948,123,1747.750749,26.0
22876064828,WFX - Personal Checking - Punxy Plaza,999,122,487.72702599999997,61.0
22876061951,WFX - Personal Checking - Natrona Heights,1187,107,482.834334,43.007722
22919175118,WFX - Personal Checking -  Union Square,1278,107,481.464036,22.0
22876064855,WFX - Personal Checking - Allegheny Township,620,74,242.30576200000002,26.0
20328798225,WFX- Business Checking- Central Ohio,2250,71,1738.209893,11.0
23225373341,1320_FCB_Brand_Brand_AllMarkets_Awareness_Video_YouTube_Video_11.3.25,620111,59,3061.6065830000002,0.0
