campaign_name,impressions,clicks,cost,conversions
Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Search_Google_Conversion,60342,22558,6339.827201,165.44806
Ark Marketing_CCCU_Brand Out of Market-ENG Q1 2026_Search_Google_Conversion,29758,5994,8418.6494,56.999785
Ark Marketing_CCCU_Checking San Diego-ENG Q1 2026_Search_Google_Conversion,14991,1555,3392.071496,13.0
Ark Marketing_CCCU_Deposit Out of Market-ENG Q1 2026_Search_Google_Conversion,13665,1349,2618.274663,14.870281
Ark Marketing_CCCU_Checking Out of Market-ENG Q1 2026_Search_Google_Conversion,18542,1173,4800.369302,14.892903
Ark Marketing_CCCU_Deposit San Diego-ENG Q1 2026_Search_Google_Conversion,8305,1129,1743.05802,14.515328
Ark Marketing_CCCU_Brand Out of Market-ENG Q1 2026_Display_Google_Reach,1976911,1096,1533.937391,0.0
Ark Marketing_CCCU_Auto Loans San Diego-ENG Q1 2026_Search_Google_Conversion,8501,1053,1508.665076,32.818203
Ark Marketing_CCCU_Auto Loans Out of Market-ENG Q1 2026_Search_Google_Conversion,12696,909,2257.780461,35.64476
Ark Marketing_CCCU_Brand San Diego-ENG Q1 2026_Display_Google_Reach,1070391,573,816.789933,0.0
Ark Marketing_CCCU_Brand Out of Market-ENG Q1 2026_Display_Google_Retargeting,522956,106,447.424198,0.0
Ark Marketing_CCCU_San Diego-ENG Q1 2026_Display_Google_Retargeting,296397,50,257.812133,0.0
