campaign_name,ad_group_name,keyword,match_type,impressions,clicks,cost,conversions
KCU - Personal - Brand,General Banking,kitsap credit union,PHRASE,20030,7148,1175.429692,811.207675
KCU - Personal - Brand Brand Geo Test,General Banking,kitsap credit union,PHRASE,8824,3465,564.891007,327.445271
KCU - Personal - NB Extended,Certificates,cd rates,PHRASE,3137,325,1058.576712,19.499008
KCU - Personal - Brand,General Banking,kitsap cu,PHRASE,581,164,61.544582,18.501617
KCU - Personal - NB Extended,Certificates,best cd rates,PHRASE,1203,152,513.277704,15.542014
KCU - Personal - NB,Certificates,cd rates,PHRASE,1155,125,452.16866,3.0
KCU - Personal - NB Locations,Location - Kitsap,kitsap bank,PHRASE,1591,123,1277.74273,6.333333
KCU - Personal - Brand,Banking Location,kitsap credit union silverdale,PHRASE,573,119,101.406722,30.346427
KCU - Personal - NB Locations,Location - Kitsap,kitsap county credit union,PHRASE,366,119,360.891844,10.0
KCU - Personal - Brand,Banking Location,kitsap credit union port orchard,PHRASE,572,115,62.006732,22.187193
KCU - Personal - NB,General Banking,credit union,PHRASE,1492,105,1270.151806,22.0
KCU - Business - Brand,General Banking,kitsap credit union business,PHRASE,200,76,794.017196,24.412302
KCU - Personal - Brand Brand Geo Test,General Banking,kitsap cu,PHRASE,239,76,16.921403,6.0
KCU - Personal - NB,Certificates,best cd rates,PHRASE,405,74,265.935425,6.0
KCU - Personal - NB Extended,Digital Accounts,online banking,PHRASE,787,73,1049.953634,19.5
KCU - Personal - Brand,General Banking,kitsap federal credit union,PHRASE,186,60,34.47,5.0
KCU - Personal - NB,Savings Accounts,high yield savings account,PHRASE,895,54,485.129527,4.0
KCU - Personal - NB Locations,Location - Kitsap,kitsap banking,PHRASE,786,53,552.047921,3.0
KCU - Personal - Brand Brand Geo Test,General Banking,kitsap federal credit union,PHRASE,131,52,14.181545,5.0
KCU - Personal - NB Extended,Certificates,certificate of deposit rates,PHRASE,567,49,187.384994,6.958978
KCU - Personal - Brand,Personal Banking,kitsap credit union rates,PHRASE,182,47,45.336553,8.440278
KCU - Personal - Brand,General Banking,kitsap community credit union,PHRASE,154,46,25.488842,6.857142
KCU - Personal - Brand Brand Geo Test,Banking Location,kitsap credit union silverdale,PHRASE,234,46,32.352845,16.0
KCU - Business - NB,General Banking,business banking,PHRASE,1333,41,809.770848,4.5
KCU - Personal - Brand,Personal Banking,kitsap credit union banking,PHRASE,225,38,28.821078,9.734822
KCU - Personal - Brand,Banking Location,kitsap credit union branches,PHRASE,228,36,65.490461,15.666666
KCU - Personal - NB,Certificates,certificate of deposit rates,PHRASE,288,34,162.252164,1.0
KCU - Personal - Brand,Banking Location,kitsap credit union port townsend,PHRASE,180,34,26.251515,11.0
KCU - Business - NB,General Banking,banking small business,PHRASE,1055,34,707.59,5.0
KCU - Personal - Brand,Banking Location,kitsap credit union kingston,PHRASE,127,33,4.762399,8.650183
KCU - Personal - Brand Brand Geo Test,Banking Location,kitsap credit union port orchard,PHRASE,195,30,43.213823,8.114414
KCU - Personal - NB Locations,Location - Bremerton,credit union bremerton,PHRASE,185,28,252.98361,3.0
KCU - Personal - Brand,Banking Location,kitsap credit union poulsbo,PHRASE,235,28,25.08,7.0
KCU - Personal - Brand,Banking Location,kitsap credit union locations,PHRASE,145,27,68.231168,24.0
