date,campaign_id,campaign_name,impressions,clicks,cost,conversions
2026-01-12,23232380573,CD - Display - 6/11/2025,24,4,9.327605,0.0
2026-01-12,23236422937,CD - Search - 6/11/2025,46,2,5.26,0.0
2026-01-12,22795984517,Display - Personal Loan,19,2,3.493602,0.0
2026-01-12,22682563885,General Membership - Display - Leads - Ads,19,0,0.0,0.0
2026-01-12,22600644893,General Membership Campaign,543,157,23.336524,11.991064
2026-01-12,22359768469,Leads - Auto Loan,86,3,8.826796,0.0
2026-01-12,23226790794,Mortgage Search 6/11,191,11,20.277566,0.0
2026-01-12,23236336489,Mortgages - Display,29,4,9.331324,0.0
2026-01-12,22604458072,Personal Loan Campaign,111,20,48.38633,11.0
2026-01-12,22749892459,Pmax - Checking Account,124,7,10.387998,2.0
2026-01-12,22749923275,Pmax - Home Equity Loan,29,5,17.176516,3.0
2026-01-12,22672853490,Recreational loan - Display - Leads,56,2,6.0,2.0
2026-01-13,23232380573,CD - Display - 6/11/2025,6,4,5.661925,1.0
2026-01-13,23236422937,CD - Search - 6/11/2025,34,4,5.84,0.0
2026-01-13,22795984517,Display - Personal Loan,6,3,9.505002,0.0
2026-01-13,22682563885,General Membership - Display - Leads - Ads,105,2,10.0,0.0
2026-01-13,22600644893,General Membership Campaign,416,184,24.285926,16.0
2026-01-13,22359768469,Leads - Auto Loan,77,6,35.26,3.0
2026-01-13,23226790794,Mortgage Search 6/11,262,12,19.742374,0.0
2026-01-13,23236336489,Mortgages - Display,44,4,4.611535,0.0
2026-01-13,22604458072,Personal Loan Campaign,120,20,48.985553,11.0
2026-01-13,22749892459,Pmax - Checking Account,277,20,39.180754,1.013224
2026-01-13,22749923275,Pmax - Home Equity Loan,216,18,56.729665,2.014651
2026-01-13,22600681592,Recreational Loan Campaign,9,1,6.442254,0.0
2026-01-13,22672853490,Recreational loan - Display - Leads,71,1,5.768134,0.0
2026-01-14,23232380573,CD - Display - 6/11/2025,37,4,5.424459,0.0
2026-01-14,23236422937,CD - Search - 6/11/2025,112,4,4.9,0.0
2026-01-14,22795984517,Display - Personal Loan,12,4,5.800333,0.0
2026-01-14,22682563885,General Membership - Display - Leads - Ads,7,1,6.551008,0.0
2026-01-14,22600644893,General Membership Campaign,861,308,22.411783,9.441769
2026-01-14,22359768469,Leads - Auto Loan,134,8,42.76,3.0
2026-01-14,23226790794,Mortgage Search 6/11,211,12,20.236428,0.0
2026-01-14,23236336489,Mortgages - Display,25,2,5.663571,0.0
2026-01-14,22604458072,Personal Loan Campaign,176,21,49.082961,7.0
2026-01-14,22749892459,Pmax - Checking Account,424,11,20.539899,1.0
2026-01-14,22749923275,Pmax - Home Equity Loan,889,18,71.143188,3.0
2026-01-14,22600681592,Recreational Loan Campaign,24,2,9.49,0.0
2026-01-14,22672853490,Recreational loan - Display - Leads,17,3,5.351069,2.0
2026-01-15,23232380573,CD - Display - 6/11/2025,6,1,3.128493,0.0
2026-01-15,23236422937,CD - Search - 6/11/2025,42,3,4.833307,0.0
2026-01-15,22795984517,Display - Personal Loan,14,3,5.732448,3.0
2026-01-15,22682563885,General Membership - Display - Leads - Ads,3,2,5.890518,0.0
2026-01-15,22600644893,General Membership Campaign,703,275,22.020032,9.428469
2026-01-15,22359768469,Leads - Auto Loan,79,5,20.02,2.0
2026-01-15,23226790794,Mortgage Search 6/11,264,12,19.036595,0.0
2026-01-15,23236336489,Mortgages - Display,20,2,7.195779,0.0
2026-01-15,22604458072,Personal Loan Campaign,144,22,48.467785,9.0
2026-01-15,22749892459,Pmax - Checking Account,271,10,33.708463,1.0
2026-01-15,22749923275,Pmax - Home Equity Loan,336,18,65.393769,1.0
2026-01-15,22600681592,Recreational Loan Campaign,3,1,5.42,0.0
2026-01-15,22672853490,Recreational loan - Display - Leads,26,4,5.297798,2.0
2026-01-16,23232380573,CD - Display - 6/11/2025,7,4,5.147251,1.005471
2026-01-16,23236422937,CD - Search - 6/11/2025,33,3,4.08,0.0
2026-01-16,22795984517,Display - Personal Loan,16,3,4.80116,1.0
2026-01-16,22682563885,General Membership - Display - Leads - Ads,18,2,5.421398,0.0
2026-01-16,22600644893,General Membership Campaign,651,261,20.996865,17.0
2026-01-16,22359768469,Leads - Auto Loan,66,4,21.164113,0.0
2026-01-16,23226790794,Mortgage Search 6/11,159,17,26.035126,0.0
2026-01-16,23236336489,Mortgages - Display,36,2,3.757086,0.0
2026-01-16,22604458072,Personal Loan Campaign,105,19,35.633882,4.0
2026-01-16,22749892459,Pmax - Checking Account,447,14,30.7725,2.008649
2026-01-16,22749923275,Pmax - Home Equity Loan,394,21,42.566638,2.0
2026-01-16,22600681592,Recreational Loan Campaign,23,1,4.34,0.0
2026-01-16,22672853490,Recreational loan - Display - Leads,120,6,4.985924,1.0
2026-01-17,23232380573,CD - Display - 6/11/2025,3,2,5.127112,0.0
2026-01-17,23236422937,CD - Search - 6/11/2025,52,1,2.1,0.0
2026-01-17,22795984517,Display - Personal Loan,8,3,5.080684,0.0
2026-01-17,22682563885,General Membership - Display - Leads - Ads,9,3,6.16567,0.0
2026-01-17,22600644893,General Membership Campaign,522,189,13.32862,4.801384
2026-01-17,22359768469,Leads - Auto Loan,44,2,12.42,1.0
2026-01-17,23226790794,Mortgage Search 6/11,164,10,14.79,0.0
2026-01-17,23236336489,Mortgages - Display,3,2,5.351293,0.0
2026-01-17,22604458072,Personal Loan Campaign,100,17,30.13,8.985349
2026-01-17,22749892459,Pmax - Checking Account,97,5,6.63902,0.0
2026-01-17,22749923275,Pmax - Home Equity Loan,424,17,53.21189,5.0
2026-01-17,22600681592,Recreational Loan Campaign,35,2,6.25,0.0
2026-01-17,22672853490,Recreational loan - Display - Leads,43,4,5.455615,5.020359
2026-01-18,23232380573,CD - Display - 6/11/2025,8,3,4.202514,0.0
2026-01-18,23236422937,CD - Search - 6/11/2025,102,2,3.4,0.0
2026-01-18,22795984517,Display - Personal Loan,8,4,5.793248,2.0
2026-01-18,22682563885,General Membership - Display - Leads - Ads,38,3,5.641216,0.0
2026-01-18,22600644893,General Membership Campaign,499,155,6.788012,9.004302
2026-01-18,22359768469,Leads - Auto Loan,50,3,17.0,1.0
2026-01-18,23226790794,Mortgage Search 6/11,208,10,15.648185,0.0
2026-01-18,23236336489,Mortgages - Display,25,2,4.431528,0.0
2026-01-18,22604458072,Personal Loan Campaign,120,12,21.788565,2.013224
2026-01-18,22749892459,Pmax - Checking Account,601,18,36.217094,2.0
2026-01-18,22749923275,Pmax - Home Equity Loan,243,22,61.554355,4.0
2026-01-18,22600681592,Recreational Loan Campaign,27,2,5.55,0.0
2026-01-18,22672853490,Recreational loan - Display - Leads,55,5,5.814517,1.0
2026-01-19,23232380573,CD - Display - 6/11/2025,10,4,5.589577,0.0
2026-01-19,23236422937,CD - Search - 6/11/2025,67,5,9.98,0.0
2026-01-19,22795984517,Display - Personal Loan,9,3,5.523393,2.0
2026-01-19,22682563885,General Membership - Display - Leads - Ads,32,2,4.437946,0.0
2026-01-19,22600644893,General Membership Campaign,652,217,10.396671,6.666525
2026-01-19,22359768469,Leads - Auto Loan,124,11,48.911941,0.0
2026-01-19,23226790794,Mortgage Search 6/11,175,13,20.53536,0.0
2026-01-19,23236336489,Mortgages - Display,11,2,5.385063,0.0
2026-01-19,22604458072,Personal Loan Campaign,194,33,85.313204,9.0
2026-01-19,22749892459,Pmax - Checking Account,475,14,35.273343,2.0
2026-01-19,22749923275,Pmax - Home Equity Loan,240,20,48.544409,1.0
2026-01-19,22600681592,Recreational Loan Campaign,4,1,5.75,0.0
2026-01-19,22672853490,Recreational loan - Display - Leads,54,6,6.220142,1.0
2026-01-20,23232380573,CD - Display - 6/11/2025,16,3,5.397156,0.0
2026-01-20,23236422937,CD - Search - 6/11/2025,68,3,5.97,0.0
2026-01-20,22795984517,Display - Personal Loan,13,4,4.639348,2.0
2026-01-20,22682563885,General Membership - Display - Leads - Ads,9,2,5.745158,0.0
2026-01-20,22600644893,General Membership Campaign,1005,318,34.861918,18.268822
2026-01-20,22359768469,Leads - Auto Loan,54,4,26.96,2.0
2026-01-20,23226790794,Mortgage Search 6/11,189,10,14.480082,0.0
2026-01-20,23236336489,Mortgages - Display,22,3,4.320289,0.0
2026-01-20,22604458072,Personal Loan Campaign,76,19,45.355758,8.026448
2026-01-20,22749892459,Pmax - Checking Account,215,9,24.646556,3.0
2026-01-20,22749923275,Pmax - Home Equity Loan,210,10,16.666699,2.0
2026-01-20,22600681592,Recreational Loan Campaign,19,1,2.24,0.0
2026-01-20,22672853490,Recreational loan - Display - Leads,98,5,5.091939,2.0
2026-01-21,23232380573,CD - Display - 6/11/2025,20,4,4.946558,0.0
2026-01-21,23236422937,CD - Search - 6/11/2025,60,4,5.98,0.0
2026-01-21,22795984517,Display - Personal Loan,6,3,4.774865,1.0
2026-01-21,22682563885,General Membership - Display - Leads - Ads,35,2,4.894493,0.0
2026-01-21,22600644893,General Membership Campaign,649,294,29.546683,22.198728
