location,impressions,clicks,cost,conversions
geoTargetConstants/1013573,31434,376,176.345179,187.997499
geoTargetConstants/1013576,29752,361,145.479175,75.261229
geoTargetConstants/1013601,871,72,133.54156,20.0
geoTargetConstants/1013629,2509,93,24.866245000000003,15.0
geoTargetConstants/1013634,5572,123,45.411602,26.0
geoTargetConstants/1013661,37153,457,174.845823,148.494943
geoTargetConstants/1013687,57176,787,277.189981,322.718037
geoTargetConstants/1013701,243958,1521,874.828184,658.712395
geoTargetConstants/1013728,105,5,0.630144,1.0
geoTargetConstants/1013790,2816,414,247.060004,71.115874
geoTargetConstants/1013852,249597,2274,1086.8873879999999,1238.104309
geoTargetConstants/1013863,10485,125,46.495988000000004,37.0
geoTargetConstants/1013873,36,0,0.042113,0.0
geoTargetConstants/1013878,6,0,0.0,0.0
geoTargetConstants/1013879,100049,1521,561.7762759999999,684.664214
geoTargetConstants/1013916,53003,528,179.490778,240.926538
geoTargetConstants/1013924,68023,503,249.58608,190.001133
geoTargetConstants/1013982,5168,42,19.705147,20.247066
geoTargetConstants/1013998,4615,168,31.299071,23.0
geoTargetConstants/1014001,113724,805,506.973003,356.046558
geoTargetConstants/1014013,7859,74,34.886426,34.0
geoTargetConstants/1014033,431623,4447,2008.388955,2342.370508
geoTargetConstants/1014045,161168,867,572.571973,334.735358
geoTargetConstants/1014063,57810,301,194.445063,96.686193
geoTargetConstants/1014069,36785,460,177.547189,136.475026
geoTargetConstants/1014074,7,0,0.003141,0.0
geoTargetConstants/1014089,12018,678,321.206095,135.297935
geoTargetConstants/1014106,36131,773,241.25114,202.311035
geoTargetConstants/1014107,68005,514,240.773023,209.23005799999999
geoTargetConstants/1014127,128539,1254,625.248459,674.795678
geoTargetConstants/1014167,1454,259,139.37538999999998,39.703784
geoTargetConstants/1014168,7747,207,57.850664,67.659743
geoTargetConstants/1014197,962674,7841,3927.493398,3725.725891
geoTargetConstants/1014218,4567,749,566.011113,103.859014
geoTargetConstants/1014224,128171,1175,566.56273,664.815183
geoTargetConstants/1014327,44120,539,195.839552,127.600194
geoTargetConstants/1014330,5556,101,24.838116,25.0
geoTargetConstants/1014333,59090,185,207.953022,140.404551
geoTargetConstants/1014400,80308,342,228.537294,168.0
geoTargetConstants/1014407,17050,134,56.522566,68.490037
geoTargetConstants/9051689,3511,100,21.201586,27.0
geoTargetConstants/9051887,46473,381,172.891097,173.299723
geoTargetConstants/9052177,258,25,1.491099,2.0
geoTargetConstants/9053039,7117,200,47.398857,54.559956
geoTargetConstants/9053199,7140,183,40.726104,50.0
geoTargetConstants/9189894,742,16,15.297952,4.0
geoTargetConstants/9190625,13291,101,44.909408,39.915624
geoTargetConstants/9190743,13373,177,43.815589,53.003361
geoTargetConstants/9191201,31549,192,108.22694899999999,111.45767000000001
geoTargetConstants/9192063,1927,111,24.208849999999998,13.0
geoTargetConstants/9195521,56,9,1.048513,0.0
geoTargetConstants/9195613,48,6,0.160015,0.533336
geoTargetConstants/9195978,1,0,0.0,0.0
geoTargetConstants/9196025,39223,263,128.367762,84.70149
geoTargetConstants/9196182,18,2,0.48,0.0
geoTargetConstants/9196378,862,49,13.923474,6.0
geoTargetConstants/9196429,7,0,0.004341,0.0
geoTargetConstants/9196529,13,1,0.020225,0.0
geoTargetConstants/9196737,2510,132,12.448194,18.001233
geoTargetConstants/9197102,5010,111,63.337012,24.5
geoTargetConstants/9197580,18,0,0.025433,0.0
geoTargetConstants/9197803,97973,563,358.485447,327.176127
geoTargetConstants/9209609,4050,100,18.958475,13.0
geoTargetConstants/9212469,233,11,1.174573,0.0
geoTargetConstants/9212774,468,15,2.249806,4.0
geoTargetConstants/9213840,1531,26,3.935565,7.0
geoTargetConstants/9215355,2522,70,8.9221,10.0
geoTargetConstants/9216559,9184,144,42.733157,33.0
geoTargetConstants/9217599,84034,674,309.21642,291.744348
geoTargetConstants/9220074,542,12,1.498338,6.0
geoTargetConstants/9220233,438,32,2.522963,0.443358
